name,host_star,ltr,disc_year,orb_period_ed,radius_e,circumference_k,circumference_m,mass_e,density_e,temp_c,temp_f,habit_code,solar_flux,disc_facility,disc_method
Kepler-804 c,Kepler-804,c,2016,9.65,1.14,45634,28358,1.6,1.0436,617,1143,0,141.84,Kepler,Transit
Kepler-805 b,Kepler-805,b,2016,30.86,2.89,115687,71889,8.7,0.3593,470,878,0,86.47,Kepler,Transit
Kepler-806 b,Kepler-806,b,2016,8.09,1.14,45634,28358,1.6,1.0436,816,1501,0,413.6,Kepler,Transit
Kepler-807 b,Kepler-807,b,2016,117.93,10.42,417114,259199,76.8,0.0677,145,293,0,7.45,Kepler,Transit
Kepler-808 b,Kepler-808,b,2016,0.63,1.46,58444,36318,2.7,0.8748,1049,1920,0,726.72,Kepler,Transit
Kepler-809 b,Kepler-809,b,2016,55.64,3.01,120491,74874,9.3,0.3412,205,401,0,13.15,Kepler,Transit
Kepler-81 b,Kepler-81,b,2012,5.96,2.42,96873,60198,17.2,1.2105,362,684,0,39.95,Kepler,Transit
Kepler-81 c,Kepler-81,c,2012,12.04,2.37,94872,58954,4.3,0.3212,229,444,0,15.62,Kepler,Transit
Kepler-81 d,Kepler-81,d,2014,20.84,1.21,48437,30099,1.9,1.0817,145,293,0,7.51,Kepler,Transit
Kepler-810 b,Kepler-810,b,2016,4.6,1.93,77258,48009,4.4,0.608,832,1530,0,350.6,Kepler,Transit
Kepler-811 b,Kepler-811,b,2016,23.58,2.7,108081,67163,7.8,0.392,457,855,0,78.59,Kepler,Transit
Kepler-812 b,Kepler-812,b,2016,10.12,3.55,142107,88307,12.3,0.274,890,1634,0,421.92,Kepler,Transit
Kepler-813 b,Kepler-813,b,2016,19.13,2.14,85665,53233,5.2,0.5318,544,1011,0,56.04,Kepler,Transit
Kepler-814 b,Kepler-814,b,2016,6.15,2.12,84864,52735,5.1,0.5372,891,1636,0,935.12,Kepler,Transit
Kepler-815 b,Kepler-815,b,2016,8.58,4.11,164524,102237,15.8,0.2269,1101,2014,0,979.14,Kepler,Transit
Kepler-816 b,Kepler-816,b,2016,10.51,10.24,409909,254721,74.5,0.0691,395,743,0,50.56,Kepler,Transit
Kepler-817 b,Kepler-817,b,2016,3.99,9.03,361472,224622,60.2,0.0815,851,1564,0,550.2,Kepler,Transit
Kepler-818 b,Kepler-818,b,2016,10.04,5.11,204554,127112,22.9,0.1711,513,955,0,100.78,Kepler,Transit
Kepler-819 b,Kepler-819,b,2016,33.2,2.76,110483,68655,8,0.3811,212,414,0,9.91,Kepler,Transit
